"Date","Description","Amount","Extended Details","Doing Business As","Street Address","City, State Zip","Reference","Category"
"01/21/2015","GIANT FOOD INC #320 GAITHERSBURG MD",40.66,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150220719092284","Merchandise & Supplies-Groceries"
"01/24/2015","GIANT FOOD INC #150 GAITHERSBURG MD",16.66,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320150250766683444","Merchandise & Supplies-Groceries"
"01/24/2015","GIANT FOOD INC #320 GAITHERSBURG MD",49.62,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150250766671633","Merchandise & Supplies-Groceries"
"01/26/2015","GIANT FOOD INC #150 GAITHERSBURG MD",76.37,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320150270796714428","Merchandise & Supplies-Groceries"
"01/26/2015","JASMINE GARDEN 703-208-9989",13.14,"  USFC22042 
 ","JASMINE GARDEN","8106 ARLINGTON BLVD
FALLS CHURCH
VA","22042-1002
UNITED STATES OF AMERICA (THE)","320150270798787410","Restaurant-Restaurant"
"01/27/2015","GIANT FOOD INC #320 GAITHERSBURG MD",13.47,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150270785323384","Merchandise & Supplies-Groceries"
"01/27/2015","GOOD FORTUNE CAFE 57GAITHERSBURG MD",10.34,"  3012162828 
 ","GOOD FORTUNE CAFE","237A KENTLANDS BLVD
GAITHERSBURG
MD","20878-5521
UNITED STATES OF AMERICA (THE)","320150280805083228","Restaurant-Restaurant"
"01/29/2015","ANNUAL MEMBERSHIP FEE",75.00,,,,,"320150293828413333","Fees & Adjustments-Fees & Adjustments"
"01/29/2015","WHOLEFDS KTL 10180 03012589500",51.47,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150300836962333","Merchandise & Supplies-Groceries"
"02/01/2015","MICHAELS 8809 GAITHERSBURG MD",16.93,"  ARTIST SUPPLY & CRAFT 
 ","MICHAELS","821 CENTER POINT WAY
GAITHERSBURG
MD","20878-6461
UNITED STATES OF AMERICA (THE)","320150330884165457","Merchandise & Supplies-Arts & Jewelry"
"02/01/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",43.93,"  3012589500 
  Description  Price 
  GROCERY STORES  $43.93 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150330880796258","Merchandise & Supplies-Groceries"
"02/02/2015","GIANT FOOD INC #320 GAITHERSBURG MD",8.11,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150330874120339","Merchandise & Supplies-Groceries"
