"TRNS_TYPE","TRNS_DT","AMOUNT","WITHWHOM","DESCRIP","PAIDWITH","ADDRESS","KEYWORD1","KEYWORD2","KEYWORD3"
"E","01/21/2015",40.66,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","01/24/2015",16.66,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","01/24/2015",49.62,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","01/26/2015",76.37,"GIANT 150","Groceries","AmExpress Visa","46 BUREAU DR
GAITHERSBURG
MD","Groceries",,
"E","01/26/2015",13.14,"JASMINE GARDEN","Restaurant","AmExpress Visa","8106 ARLINGTON BLVD
FALLS CHURCH
VA","Restaurant",,
"E","01/27/2015",13.47,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","01/27/2015",10.34,"GOOD FORTUNE CAFE","Restaurant","AmExpress Visa","237A KENTLANDS BLVD
GAITHERSBURG
MD","Restaurant",,
"E","01/29/2015",75.00,"AmExpress Visa","Annual Fee","AmExpress Visa",,"Fees",,
"E","01/29/2015",51.47,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","02/01/2015",16.93,"MICHAELS","Art Supplies","AmExpress Visa","821 CENTER POINT WAY
GAITHERSBURG
MD","Art Supplies",,
"E","02/01/2015",43.93,"WHOLE FOODS MARKET","Groceries","AmExpress Visa","316 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","02/02/2015",8.11,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","02/02/2015",11.39,"GOOD FORTUNE CAFE","Restaurant","AmExpress Visa","237A KENTLANDS BLVD
GAITHERSBURG
MD","Restaurant",,
"E","02/02/2015",84.79,"STAPLES","Printer: HP ENVY 4500 
 ","AmExpress Visa","660 QUINCE ORCHARD RD
GAITHERSBURG
MD","Office Supplies",,
"E","02/08/2015",60.33,"GIANT FOOD","Groceries","AmExpress Visa","229 KENTLANDS BLVD
GAITHERSBURG
MD","Groceries",,
"E","02/08/2015",21.06,"LOWE'S","Unknown","AmExpress Visa","40 MARKET ST
GAITHERSBURG
MD","Hardware",,
"E","02/09/2015",52.93,"PROVIDE COMMERCE","Flowers","AmExpress Visa","4840 EASTGATE MALL
SAN DIEGO
CA","Flowers","Gift",
"E","02/11/2015",10.39,"GOOD FORTUNE CAFE","Restaurant","AmExpress Visa","237A KENTLANDS BLVD
GAITHERSBURG
MD","Restaurant",,
